"Balanced KEGG Reactions",,,,,,
"ID","NAME","FORMULA (ID)","FORMULA (NAME)",,"INCLUDED IN ANAEROBIC GLOBAL METABOLISM?","Standard Molar Free Energy kJ/mol (pH 7, ionic strength 0.1 M)"
"R05415","None"," C00007 +  C08061 =>  C08062"," Oxygen +  2'-Aminobiphenyl-2,3-diol =>  2-Hydroxy-6-oxo-(2'-aminophenyl)-hexa-2,4-dienoate",,FALSO,"-325,1"
"R05416","None"," C00007 +  C06728 =>  C00080 +  C07123"," Oxygen +  3-Ethylcatechol =>  H+ +  2-Hydroxy-6-oxo-octa-2,4-dienoate",,FALSO,"-325,1"
"R05417","None"," C00004 +  C00007 +  C00080 +  C07083 =>  C00003 +  C07084"," NADH +  Oxygen +  H+ +  Styrene =>  NAD+ +  Styrene-cis-2,3-dihydrodiol",,FALSO,"-273,6"
"R05418","None"," C00004 +  C00007 +  C00080 +  C07100 =>  C00001 +  C00003 +  C00048 +  C07101"," NADH +  Oxygen +  H+ +  2,4,5-Trichlorophenoxyacetic acid =>  H2O +  NAD+ +  Glyoxylate +  2,4,5-Trichlorophenol",,FALSO,"NaN"
"R05419","None"," C00007 +  C00026 +  C03664 =>  C00011 +  C00042 +  C00048 +  C02625"," Oxygen +  2-Oxoglutarate +  2,4-Dichlorophenoxyacetate =>  CO2 +  Succinate +  Glyoxylate +  2,4-Dichlorophenol",,FALSO,"-472,9"
"R05420","4-sulfomuconolactone sulfohydrolase"," C00080 +  C02222 +  C11481 <=>  C00001 +  C06676"," H+ +  2-Maleylacetate +  HSO3- <=>  H2O +  4-Sulfolactone",,VERDADEIRO,"NaN"
"R05421","None"," C00870 +  C06607 <=>  C00001 +  C06604"," 4-Nitrophenol +  Diethylthiophosphoric acid <=>  H2O +  Parathion",,VERDADEIRO,"NaN"
"R05422","fluorene,NADH:oxygen oxidoreductase"," C00004 +  C00007 +  C00080 +  C07715 =>  C00001 +  C00003 +  C06711"," NADH +  Oxygen +  H+ +  Fluorene =>  H2O +  NAD+ +  Fluoren-9-ol",,FALSO,"-403,3"
"R05423","None"," C00004 +  C00007 +  C00080 +  C07715 =>  C00003 +  C07721"," NADH +  Oxygen +  H+ +  Fluorene =>  NAD+ +  (+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene",,FALSO,"NaN"
"R05424","None","2 C00080 +  C07083 <=>  C07111","2 H+ +  Styrene <=>  Ethylbenzene",,VERDADEIRO,"NaN"
"R05425","None"," C00004 +  C00007 +  C00080 +  C07111 =>  C00001 +  C00003 +  C11348"," NADH +  Oxygen +  H+ +  Ethylbenzene =>  H2O +  NAD+ +  (S)-1-Phenylethanol",,FALSO,"-393,2"
"R05426","None"," C00004 +  C00007 +  C00080 +  C11348 => 2 C00001 +  C00003 +  C07113"," NADH +  Oxygen +  H+ +  (S)-1-Phenylethanol => 2 H2O +  NAD+ +  Acetophenone",,FALSO,"-431,9"
"R05427","None"," C00007 + 2 C07113 => 2 C07189"," Oxygen + 2 Acetophenone => 2 2-Hydroxyacetophenone",,FALSO,"-321,9"
"R05428","None"," C00004 +  C00007 +  C00080 +  C07215 =>  C00003 +  C06731"," NADH +  Oxygen +  H+ +  o-Toluate =>  NAD+ +  1,2-Dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate",,FALSO,"-264,2"
"R05429","None"," C00004 +  C00007 +  C00080 +  C07092 =>  C00003 +  C07093"," NADH +  Oxygen +  H+ +  1,4-Dichlorobenzene =>  NAD+ +  3,6-Dichloro-cis-1,2-dihydroxycyclohexa-3,5-diene",,FALSO,"NaN"
"R05430","None","2 C00004 +  C00007 + 2 C00080 + 2 C01504 => 2 C00003 + 2 C02274","2 NADH +  Oxygen + 2 H+ + 2 Indanone => 2 NAD+ + 2 Dihydrocoumarin",,FALSO,"NaN"
"R05431","None","2 C00004 +  C00007 + 2 C00080 + 2 C01504 => 2 C00003 + 2 C07720","2 NADH +  Oxygen + 2 H+ + 2 Indanone => 2 NAD+ + 2 3-Hydroxy-1-indanone",,FALSO,"NaN"
"R05432","None","2 C00005 +  C00007 + 2 C00080 + 2 C01504 => 2 C00006 + 2 C02274","2 NADPH +  Oxygen + 2 H+ + 2 Indanone => 2 NADP+ + 2 Dihydrocoumarin",,FALSO,"NaN"
"R05433","None","2 C00005 +  C00007 + 2 C00080 + 2 C01504 => 2 C00006 + 2 C07720","2 NADPH +  Oxygen + 2 H+ + 2 Indanone => 2 NADP+ + 2 3-Hydroxy-1-indanone",,FALSO,"NaN"
"R05434","None"," C00004 +  C00007 +  C00080 +  C07729 =>  C00003 +  C03569"," NADH +  Oxygen +  H+ +  Dibenzofuran =>  NAD+ +  2,2',3-Trihydroxybiphenyl",,FALSO,"NaN"
"R05435","None","2 C00004 +  C00007 +  C06712 => 2 C00003 +  C07722","2 NADH +  Oxygen +  Fluoren-9-one => 2 NAD+ +  3,4-Dihydroxy-3,4-dihydro-9-fluorenone",,FALSO,"NaN"
"R05436","None","2 C00005 +  C00007 +  C06712 => 2 C00006 +  C07722","2 NADPH +  Oxygen +  Fluoren-9-one => 2 NADP+ +  3,4-Dihydroxy-3,4-dihydro-9-fluorenone",,FALSO,"NaN"
"R05437","None","2 C00004 +  C00007 + 2 C00080 + 2 C07727 => 2 C00003 + 2 C07728","2 NADH +  Oxygen + 2 H+ + 2 2-Indanone => 2 NAD+ + 2 3-Isochromanone",,FALSO,"NaN"
"R05438","None","2 C00005 +  C00007 + 2 C00080 + 2 C07727 => 2 C00006 + 2 C07728","2 NADPH +  Oxygen + 2 H+ + 2 2-Indanone => 2 NADP+ + 2 3-Isochromanone",,FALSO,"NaN"
"R05439","None"," C00004 +  C00007 +  C00080 +  C07732 =>  C00003 +  C07733"," NADH +  Oxygen +  H+ +  Dibenzo-p-dioxin =>  NAD+ +  2,2',3-Trihydroxydiphenylether",,FALSO,"NaN"
"R05440","None"," C00004 +  C00007 +  C00080 +  C07111 =>  C00003 +  C06727"," NADH +  Oxygen +  H+ +  Ethylbenzene =>  NAD+ +  cis-1,2-Dihydro-3-ethylcatechol",,FALSO,"-273,6"
"R05441","4-chlorophenol,NADPH:oxygen oxidoreductase (6-hydroxylating)"," C00005 +  C00007 +  C00080 +  C02124 =>  C00001 +  C00006 +  C02375"," NADPH +  Oxygen +  H+ +  4-Chlorophenol =>  H2O +  NADP+ +  4-Chlorocatechol",,FALSO,"-393,5"
"R05442","None"," C00004 +  C00007 +  C00080 +  C07212 =>  C00001 +  C00003 +  C07213"," NADH +  Oxygen +  H+ +  o-Xylene =>  H2O +  NAD+ +  2-Methylbenzyl alcohol",,FALSO,"-385,8"
"R05443","None"," C00004 +  C00007 +  C00080 +  C07208 =>  C00001 +  C00003 +  C07216"," NADH +  Oxygen +  H+ +  m-Xylene =>  H2O +  NAD+ +  3-Methylbenzyl alcohol",,FALSO,"-385,8"
"R05444","None"," C00004 +  C00007 +  C00080 +  C06547 =>  C00001 +  C00003 +  C06548"," NADH +  Oxygen +  H+ +  Ethylene =>  H2O +  NAD+ +  Ethylene oxide",,FALSO,"-418,5"
"R05445","None"," C01327 +  C06328 <=>  C00001 +  C07097"," Hydrochloric acid +  6-Chlorobenzene-1,2,4-triol <=>  H2O +  2,6-Dichlorohydroquinone",,VERDADEIRO,"NaN"
"R05446","None","2 C00004 +  C00007 +  C06600 => 2 C00003 +  C00698 +  C01328 +  C07102","2 NADH +  Oxygen +  2,5-Dichlorohydroquinone => 2 NAD+ +  Cl- +  HO- +  5-Chloro-1,2,4-trihydroxybenzene",,FALSO,"NaN"
"R05447","None","2 C00004 +  C00007 +  C07101 => 2 C00003 +  C00698 +  C01328 +  C06600","2 NADH +  Oxygen +  2,4,5-Trichlorophenol => 2 NAD+ +  Cl- +  HO- +  2,5-Dichlorohydroquinone",,FALSO,"NaN"
"R05448","None"," C00004 +  C00007 +  C00080 +  C07096 =>  C00001 +  C00003 +  C07097"," NADH +  Oxygen +  H+ +  2,6-Dichlorophenol =>  H2O +  NAD+ +  2,6-Dichlorohydroquinone",,FALSO,"-395,9"
"R05449","None","2 C00004 +  C00007 +  C07098 => 2 C00003 +  C00698 +  C01328 +  C07097","2 NADH +  Oxygen +  2,4,6-Trichlorophenol => 2 NAD+ +  Cl- +  HO- +  2,6-Dichlorohydroquinone",,FALSO,"NaN"
"R05450","None"," C00004 +  C00007 +  C00080 +  C05852 =>  C00001 +  C00003 +  C00544"," NADH +  Oxygen +  H+ +  2-Hydroxyphenylacetate =>  H2O +  NAD+ +  Homogentisate",,FALSO,"-395,1"
"R05451","2,4-dichlorobenzoate:CoA ligase"," C00013 +  C00020 +  C06671 <=>  C00002 +  C00010 +  C06670"," Diphosphate +  AMP +  2,4-Dichlorobenzoyl-CoA <=>  ATP +  CoA +  2,4-Dichlorobenzoate",,VERDADEIRO,"-10,4"
"R05452","benzoyl acetate: CoA ligase"," C00013 +  C00020 +  C07118 <=>  C00002 +  C00010 +  C07114"," Diphosphate +  AMP +  Benzoyl acetyl-CoA <=>  ATP +  CoA +  3-Oxo-3-phenylpropanoate",,VERDADEIRO,"-10,4"
"R05453","acetophenone:carbon-dioxide ligase (ADP-forming)","2 C00008 + 2 C00009 +  C07114 <=>  C00001 + 2 C00002 +  C00080 +  C00288 +  C07113","2 ADP + 2 Orthophosphate +  3-Oxo-3-phenylpropanoate <=>  H2O + 2 ATP +  H+ +  HCO3- +  Acetophenone",,VERDADEIRO,"-32,6"
"R05454","None"," C00001 +  C06986 <=>  C02730"," H2O +  Spirodilactone <=>  2-Succinylbenzoate",,VERDADEIRO,"250,9"
"R05455","None"," C00010 +  C06986 <=>  C03160"," CoA +  Spirodilactone <=>  2-Succinylbenzoyl-CoA",,VERDADEIRO,"227,5"
"R05456","4-keto-anhydrotetracycline:FADH2 oxidoreductase (7-halogenating)"," C00007 +  C00080 +  C00698 +  C01352 +  C06627 => 2 C00001 +  C00016 +  C06626"," Oxygen +  H+ +  Cl- +  FADH2 +  4-Keto-anhydrotetracycline => 2 H2O +  FAD +  4-Ketoanhydrochlortetracycline",,FALSO,"NaN"
"R05459","None"," C00006 +  C06570 <=>  C00005 +  C00080 +  C03206"," NADP+ +  Tetracycline <=>  NADPH +  H+ +  5a,11a-Dehydrotetracycline",,VERDADEIRO,"NaN"
"R05462","4-hydroxy-6-methylpretetramide,NADPH:oxygen oxidoreductase (12a-hydroxylating)"," C00005 +  C00007 +  C00080 +  C06628 =>  C00001 +  C00006 +  C06627"," NADPH +  Oxygen +  H+ +  4-Hydroxy-6-methylpretetramide =>  H2O +  NADP+ +  4-Keto-anhydrotetracycline",,FALSO,"NaN"
"R05463","6-methylpretetramide,NADPH:oxygen oxidoreductase (4-hydroxylating)"," C00005 +  C00007 +  C00080 +  C06629 =>  C00001 +  C00006 +  C06628"," NADPH +  Oxygen +  H+ +  6-Methylpretetramide =>  H2O +  NADP+ +  4-Hydroxy-6-methylpretetramide",,FALSO,"-392,9"
"R05465","None"," C00009 +  C06655 <=>  C00062 +  C00118"," Orthophosphate +  L-N2-(2-Carboxyethyl)arginine <=>  L-Arginine +  D-Glyceraldehyde 3-phosphate",,VERDADEIRO,"-133,1"
"R05466","deoxyamidinoproclavaminate,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylating)"," C00007 +  C00026 +  C06656 =>  C00011 +  C00042 +  C06657"," Oxygen +  2-Oxoglutarate +  Deoxyguanidinoproclavaminic acid =>  CO2 +  Succinate +  Guanidinoproclavaminic acid",,FALSO,"-447,3"
"R05467","L-N2-(2-carboxyethyl)arginine cyclo-ligase (AMP-forming)"," C00013 +  C00020 +  C06656 <=>  C00002 +  C06655"," Diphosphate +  AMP +  Deoxyguanidinoproclavaminic acid <=>  ATP +  L-N2-(2-Carboxyethyl)arginine",,VERDADEIRO,"-1,5"
"R05468","proclavaminate,2-oxoglutarate:oxygen oxidoreductase (cyclyzing)"," C00007 +  C00026 +  C06658 =>  C00001 +  C00011 +  C00042 +  C06659"," Oxygen +  2-Oxoglutarate +  Proclavaminic acid =>  H2O +  CO2 +  Succinate +  Dihydroclavaminic acid",,FALSO,"NaN"
"R05469","dihydroclavaminate,2-oxoglutarate:oxygen oxidoreductase (desaturating)"," C00007 +  C00026 +  C06659 =>  C00001 +  C00011 +  C00042 +  C06660"," Oxygen +  2-Oxoglutarate +  Dihydroclavaminic acid =>  H2O +  CO2 +  Succinate +  Clavaminic acid",,FALSO,"-455,1"
"R05471","clavulanate:NADP+ oxidoreductase"," C00006 +  C06662 <=>  C00005 +  C00080 +  C06661"," NADP+ +  Clavulanic acid <=>  NADPH +  H+ +  Clavulanate-9-aldehyde",,VERDADEIRO,-7
"R05475","None"," C00007 +  C04596 =>  C06644"," Oxygen +  1,1-Dichloro-2,2-bis(4-chlorophenyl)ethylene =>  1,1-Dichloro-2-(dihydroxy-4'-chlorophenyl)-2-(4'-chlorophenyl)ethylene",,FALSO,"-341,2"
"R05476","None"," C00698 +  C06636 <=>  C04623"," Cl- +  TDE <=>  DDT",,VERDADEIRO,"NaN"
"R05477","None"," C01327 +  C06639 <=>  C00001 +  C06638"," Hydrochloric acid +  2,2-Bis(4'-chlorophenyl)ethanol <=>  H2O +  1-Chloro-2,2-bis(4'-chlorophenyl)ethane",,VERDADEIRO,"NaN"
"R05478","None"," C00001 +  C06642 <=>  C06639"," H2O +  unsym-Bis(4'-chlorophenyl)ethylene <=>  2,2-Bis(4'-chlorophenyl)ethanol",,VERDADEIRO,"-4,6"
"R05481","None"," C00001 +  C06639 <=>  C06640"," H2O +  2,2-Bis(4'-chlorophenyl)ethanol <=>  Bis(4'-chlorophenyl)acetate",,VERDADEIRO,"NaN"
"R05483","None"," C06597 <=>  C01327 +  C06594"," 1,3,4,6-Tetrachloro-1,4-cyclohexadiene <=>  Hydrochloric acid +  1,2,4-Trichlorobenzene",,VERDADEIRO,"NaN"
"R05484","None"," C01327 +  C06602 <=>  C06598"," Hydrochloric acid +  2,5-Dichlorophenol <=>  2,4,5-Trichloro-2,5-cyclohexadiene-1-ol",,VERDADEIRO,"NaN"
"R05485","None"," C02372 +  C06607 <=>  C00001 +  C06605"," 4-Hydroxyaniline +  Diethylthiophosphoric acid <=>  H2O +  Aminoparathion",,VERDADEIRO,"NaN"
"R05486","None"," C00283 +  C06608 <=>  C00001 +  C06607"," Hydrogen sulfide +  Diethylphosphoric acid <=>  H2O +  Diethylthiophosphoric acid",,VERDADEIRO,"NaN"
"R05487","None"," C00004 +  C00007 +  C00080 +  C07086 =>  C00001 +  C00003 +  C05852"," NADH +  Oxygen +  H+ +  Phenylacetic acid =>  H2O +  NAD+ +  2-Hydroxyphenylacetate",,FALSO,"-395,2"
"R05488","styrene,FADH2:oxygen oxidoreductase"," C00007 +  C01352 +  C07083 =>  C00001 +  C00016 +  C20782"," Oxygen +  FADH2 +  Styrene =>  H2O +  FAD +  (S)-2-Phenyloxirane",,FALSO,"NaN"
"R05492","None"," C00007 +  C04623 =>  C06649"," Oxygen +  DDT =>  cis-2,3-Dihydrodiol 1,1,1-Trichloro-2,2-bis(4'-chlorophenyl)ethane",,FALSO,"NaN"
"R05493","None"," C00007 +  C00026 +  C07088 =>  C00011 +  C00042 +  C00048 +  C02124"," Oxygen +  2-Oxoglutarate +  4-Chlorophenoxyacetate =>  CO2 +  Succinate +  Glyoxylate +  4-Chlorophenol",,FALSO,"-385,8"
"R05495","None","2 C00080 +  C07112 <=>  C00001 +  C07111","2 H+ +  1-Phenylethanol <=>  H2O +  Ethylbenzene",,VERDADEIRO,"NaN"
"R05497","None"," C00698 +  C06637 <=>  C04596"," Cl- +  1-Chloro-2,2-bis(4'-chlorophenyl)ethylene <=>  1,1-Dichloro-2,2-bis(4-chlorophenyl)ethylene",,VERDADEIRO,"NaN"
"R05498","None"," C01327 +  C06547 <=> 2 C00080 +  C06793"," Hydrochloric acid +  Ethylene <=> 2 H+ +  Vinyl chloride",,VERDADEIRO,"NaN"
"R05499","None"," C01327 +  C06790 <=> 2 C00080 +  C06789"," Hydrochloric acid +  Trichloroethene <=> 2 H+ +  Tetrachloroethene",,VERDADEIRO,"NaN"
"R05500","None"," C01327 +  C06791 <=> 2 C00080 +  C06790"," Hydrochloric acid +  trans-1,2-Dichloroethene <=> 2 H+ +  Trichloroethene",,VERDADEIRO,"NaN"
"R05501","None"," C01327 +  C06792 <=> 2 C00080 +  C06790"," Hydrochloric acid +  cis-1,2-Dichloroethene <=> 2 H+ +  Trichloroethene",,VERDADEIRO,"NaN"
"R05502","None"," C01327 +  C06793 <=> 2 C00080 +  C06791"," Hydrochloric acid +  Vinyl chloride <=> 2 H+ +  trans-1,2-Dichloroethene",,VERDADEIRO,"NaN"
"R05503","None"," C01327 +  C06793 <=> 2 C00080 +  C06792"," Hydrochloric acid +  Vinyl chloride <=> 2 H+ +  cis-1,2-Dichloroethene",,VERDADEIRO,"NaN"
"R05504","None"," C00682 +  C00698 <=>  C00080 +  C07089"," 2-Hydroxymuconate semialdehyde +  Cl- <=>  H+ +  5-Chloro-2-hydroxymuconic semialdehyde",,VERDADEIRO,"NaN"
"R05506","None"," C00024 +  C00512 <=>  C00010 +  C07118"," Acetyl-CoA +  S-Benzoate coenzyme A <=>  CoA +  Benzoyl acetyl-CoA",,VERDADEIRO,"-26,6"
"R05507","None"," C00025 +  C06102 <=>  C00026 +  C02378"," L-Glutamate +  Adipate semialdehyde <=>  2-Oxoglutarate +  6-Aminohexanoate",,VERDADEIRO,11
"R05508","None"," C00024 +  C00186 <=>  C00033 +  C00827"," Acetyl-CoA +  (S)-Lactate <=>  Acetate +  Lactoyl-CoA",,VERDADEIRO,0
"R05509","None"," C00033 +  C00894 <=>  C00024 +  C00511"," Acetate +  Propenoyl-CoA <=>  Acetyl-CoA +  Acrylic acid",,VERDADEIRO,0
"R05510","Protoanemonin lactonohydrolase"," C07091 <=>  C00001 +  C07090"," cis-Acetylacrylate <=>  H2O +  Protoanemonin",,VERDADEIRO,"-33,1"
"R05511","None"," C06329 <=>  C00001 +  C04706"," 2-Chloromaleylacetate <=>  H2O +  cis-2-Chloro-4-carboxymethylenebut-2-en-1,4-olide",,VERDADEIRO,"-40,7"
"R05515","None"," C00003 +  C01221 <=>  C00004 +  C00080 +  C01138"," NAD+ +  Dihydrostreptomycin 6-phosphate <=>  NADH +  H+ +  Streptomycin 6-phosphate",,VERDADEIRO,"-20,4"
"R05516","None"," C03442 <=>  C03319"," dTDP-L-dihydrostreptose <=>  dTDP-L-rhamnose",,VERDADEIRO,"-0,2"
"R05518","4,6-Dideoxy-4-oxo-dTDP-D-glucose 2,3-hydro-lyase (dTDP-3,4-dioxo-2,6-dideoxy-D-glucose-forming)"," C00001 +  C06620 <=>  C11907"," H2O +  dTDP-3,4-dioxo-2,6-dideoxy-D-glucose <=>  dTDP-4-oxo-6-deoxy-D-glucose",,VERDADEIRO,"-31,9"
"R05519","None"," C00007 +  C01912 =>  C00001 +  C06634"," Oxygen +  Erythromycin =>  H2O +  Erythromycin E",,FALSO,"NaN"
"R05520","S-adenosyl-L-methionine:erythromycin-C 3''-O-methyltransferase"," C00021 +  C01912 <=>  C00019 +  C06616"," S-Adenosyl-L-homocysteine +  Erythromycin <=>  S-Adenosyl-L-methionine +  Erythromycin C",,VERDADEIRO,"NaN"
"R05521","erythromycin-B,NADPH:oxygen oxidoreductase (12-hydroxylating)"," C00005 +  C00007 +  C00080 +  C06653 =>  C00001 +  C00006 +  C01912"," NADPH +  Oxygen +  H+ +  Erythromycin B =>  H2O +  NADP+ +  Erythromycin",,FALSO,"NaN"
"R05522","erythromycin-D,NADPH:oxygen oxidoreductase (12-hydroxylating)"," C00005 +  C00007 +  C00080 +  C06633 =>  C00001 +  C00006 +  C06616"," NADPH +  Oxygen +  H+ +  Erythromycin D =>  H2O +  NADP+ +  Erythromycin C",,FALSO,"NaN"
"R05526","dTDP-4-oxo-2,6-dideoxy-D-glucose:NADP+ 3-oxidoreductase"," C00006 +  C11922 <=>  C00005 +  C00080 +  C06620"," NADP+ +  dTDP-4-oxo-2,6-dideoxy-D-glucose <=>  NADPH +  H+ +  dTDP-3,4-dioxo-2,6-dideoxy-D-glucose",,VERDADEIRO,"-12,8"
"R05527","dTDP-4-oxo-2,6-dideoxy-D-glucose 5-epimerase"," C06622 <=>  C11922"," dTDP-4-oxo-2,6-dideoxy-L-glucose <=>  dTDP-4-oxo-2,6-dideoxy-D-glucose",,VERDADEIRO,0
"R05530","dTDP-L-mycarose:erythronolide-B 3-O-alpha-mycarosyltransferase"," C06635 +  C11916 <=>  C00363 +  C06630"," Erythronolide B +  dTDP-L-mycarose <=>  dTDP +  3-O-alpha-Mycarosylerythronolide B",,VERDADEIRO,"15,2"
"R05531","dTDP-D-desosamine:3-O-mycarosylerythronolide-B 5-O-beta-D-desosaminyltransferase"," C00363 +  C06633 <=>  C06630 +  C11911"," dTDP +  Erythromycin D <=>  3-O-alpha-Mycarosylerythronolide B +  dTDP-D-desosamine",,VERDADEIRO,"-17,7"
"R05532","S-adenosyl-L-methionine:erythromycin-D 3''-O-methyltransferase"," C00021 +  C06653 <=>  C00019 +  C06633"," S-Adenosyl-L-homocysteine +  Erythromycin B <=>  S-Adenosyl-L-methionine +  Erythromycin D",,VERDADEIRO,"NaN"
"R05533","None","2 C00698 +  C06989 <=>  C06988","2 Cl- +  delta-3,4,5,6-Tetrachlorocyclohexene <=>  beta-1,2,3,4,5,6-Hexachlorocyclohexane",,VERDADEIRO,"NaN"
"R05534","None","2 C00698 +  C11352 <=>  C06989","2 Cl- +  5,6-Dichloro-1,3-cyclohexadiene <=>  delta-3,4,5,6-Tetrachlorocyclohexene",,VERDADEIRO,"NaN"
"R05535","None"," C00080 +  C00698 +  C06990 <=>  C11352"," H+ +  Cl- +  Chlorobenzene <=>  5,6-Dichloro-1,3-cyclohexadiene",,VERDADEIRO,"NaN"
"R05536","None","2 C00698 +  C01407 <=>  C11352","2 Cl- +  Benzene <=>  5,6-Dichloro-1,3-cyclohexadiene",,VERDADEIRO,"NaN"
"R05538","None"," C00022 +  C07719 <=>  C00001 +  C07718"," Pyruvate +  2-Formyl-1-indanone <=>  H2O +  2-Hydroxy-4-(1-oxo-1,3-dihydro-2H-inden-2-ylidene)-but-2-enoic acid",,VERDADEIRO,"25,5"
"R05540","None"," C00007 + 2 C07719 => 2 C00011 + 2 C01504"," Oxygen + 2 2-Formyl-1-indanone => 2 CO2 + 2 Indanone",,FALSO,"575,4"
"R05541","None"," C00007 + 2 C00080 +  C07715 =>  C07717"," Oxygen + 2 H+ +  Fluorene =>  3,4-Dihydroxyfluorene",,FALSO,"-340,7"
"R05542","None"," C00007 + 2 C00080 +  C07715 =>  C07724"," Oxygen + 2 H+ +  Fluorene =>  1,2-Dihydroxyfluorene",,FALSO,"-340,7"
"R05543","None"," C00001 +  C07723 <=>  C07722"," H2O +  4-Hydroxy-9-fluorenone <=>  3,4-Dihydroxy-3,4-dihydro-9-fluorenone",,VERDADEIRO,"NaN"
"R05544","None"," C00022 +  C07726 <=>  C00001 +  C07725"," Pyruvate +  1-Formyl-2-indanone <=>  H2O +  2-Hydroxy-4-(2-oxo-1,3-dihydro-2H-inden-1-ylidene)but-2-enoic acid",,VERDADEIRO,"24,8"
"R05546","None"," C00010 +  C00011 +  C00014 +  C08063 <=> 2 C00001 +  C05165"," CoA +  CO2 +  Ammonia +  1,4-Cyclohexanedione <=> 2 H2O +  2-Amino-5-oxocyclohex-1-enecarbonyl-CoA",,VERDADEIRO,"-39,2"
"R05547","None"," C00077 +  C01121 <=>  C00062 +  C11351"," L-Ornithine +  Streptidine 6-phosphate <=>  L-Arginine +  N1-Amidinostreptamine 6-phosphate",,VERDADEIRO,"0,3"
"R05548","None"," C00870 +  C06608 <=>  C00001 +  C06606"," 4-Nitrophenol +  Diethylphosphoric acid <=>  H2O +  Paraoxon",,VERDADEIRO,"NaN"
"R05549","None"," C00124 +  C05402 <=>  C00001 +  C05404"," D-Galactose +  Melibiose <=>  H2O +  D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose",,VERDADEIRO,"-6,2"
"R05551","None"," C00001 +  C01659 <=>  C00014 +  C00511"," H2O +  Acrylamide <=>  Ammonia +  Acrylic acid",,VERDADEIRO,"25,6"
"R05552","None"," C00001 +  C11355 <=>  C00014 +  C00251"," H2O +  4-Amino-4-deoxychorismate <=>  Ammonia +  Chorismate",,VERDADEIRO,"-6,4"
"R05553","4-amino-4-deoxychorismate pyruvate-lyase"," C00022 +  C00568 <=>  C11355"," Pyruvate +  4-Aminobenzoate <=>  4-Amino-4-deoxychorismate",,VERDADEIRO,"-162,2"
"R05554","Ureidoglycine aminohydrolase;"," C00014 +  C00603 <=>  C00001 +  C02091"," Ammonia +  (-)-Ureidoglycolate <=>  H2O +  (S)-Ureidoglycine",,VERDADEIRO,"9,5"
"R05555","Farnesyl diphosphate:Isopentenyl diphosphate farnesyl cistransferase"," C00013 +  C11356 <=>  C00129 +  C00448"," Diphosphate +  trans,trans,cis-Geranylgeranyl diphosphate <=>  Isopentenyl diphosphate +  trans,trans-Farnesyl diphosphate",,VERDADEIRO,"-73,6"
"R05558","Atrazine chlorohydrolase"," C01327 +  C06552 <=>  C00001 +  C06551"," Hydrochloric acid +  Hydroxyatrazine <=>  H2O +  Atrazine",,VERDADEIRO,"NaN"
"R05559","4-(Ethylamino)-2-hydroxy-6-(isopropylamino)-1,3,5-triazine ethylaminohydrolase"," C00797 +  C06553 <=>  C00001 +  C06552"," Ethylamine +  N-Isopropylammelide <=>  H2O +  Hydroxyatrazine",,VERDADEIRO,"-16,6"
"R05560","N-Isopropylammelide isopropylaminohydrolase"," C06554 +  C06748 <=>  C00001 +  C06553"," Cyanuric acid +  Isopropylamine <=>  H2O +  N-Isopropylammelide",,VERDADEIRO,"-51,5"
"R05561","Cyanuric acid amidohydrolase"," C01353 +  C06555 <=> 2 C00001 +  C06554"," Carbonic acid +  Biuret <=> 2 H2O +  Cyanuric acid",,VERDADEIRO,"NaN"
"R05562","Biuret amidohydrolase"," C00011 +  C00014 +  C00086 <=>  C00001 +  C06555"," CO2 +  Ammonia +  Urea <=>  H2O +  Biuret",,VERDADEIRO,"73,6"
"R05563","biuret amidohydrolase"," C00014 +  C01010 <=>  C00001 +  C06555"," Ammonia +  Urea-1-carboxylate <=>  H2O +  Biuret",,VERDADEIRO,"-25,6"
"R05564","None"," C00007 + 2 C06551 => 2 C00207 + 2 C06556"," Oxygen + 2 Atrazine => 2 Acetone + 2 Deisopropylatrazine",,FALSO,"-411,6"
"R05565","None"," C00007 + 2 C06551 => 2 C00084 + 2 C06559"," Oxygen + 2 Atrazine => 2 Acetaldehyde + 2 Deethylatrazine",,FALSO,"-392,1"
"R05566","UDP-N-acetyl-D-mannosamine:N-acetyl-beta-D-glucosaminyldiphosphoundecaprenol beta-1,4-N-acetylmannosaminyltransferase"," C00015 +  C04881 <=>  C01170 +  C01289"," UDP +  N-Acetyl-beta-D-mannosaminyl-1,4-N-acetyl-D-glucosaminyldiphosphoundecaprenol <=>  UDP-N-acetyl-D-mannosamine +  N-Acetyl-D-glucosaminyldiphosphoundecaprenol",,VERDADEIRO,"-15,2"
"R05567","None"," C00007 + 2 C06556 => 2 C00084 + 2 C06560"," Oxygen + 2 Deisopropylatrazine => 2 Acetaldehyde + 2 Deisopropyldeethylatrazine",,FALSO,"-392,1"
"R05568","None"," C00007 + 2 C06559 => 2 C00207 + 2 C06560"," Oxygen + 2 Deethylatrazine => 2 Acetone + 2 Deisopropyldeethylatrazine",,FALSO,"-411,6"
"R05569","None"," C00014 +  C08735 <=>  C00001 +  C06560"," Ammonia +  2-Chloro-4-hydroxy-6-amino-1,3,5-triazine <=>  H2O +  Deisopropyldeethylatrazine",,VERDADEIRO,"-26,4"
